elapsed_time,power,smooth_power
0 days 00:00:00,0.0,406.7142857142857
0 days 00:00:01,0.0,395.53333333333336
0 days 00:00:21,0,382.0
0 days 00:00:22,813.0,378.05882352941177
0 days 00:00:23,547.0,376.94444444444446
0 days 00:00:24,511.0,367.89473684210526
0 days 00:00:25,479.0,358.55
0 days 00:00:26,445.0,349.04761904761904
0 days 00:00:27,573.0,339.72727272727275
0 days 00:00:28,506.0,331.2173913043478
0 days 00:00:29,496.0,323.4166666666667
0 days 00:00:30,440.0,310.48
0 days 00:00:31,391.0,298.53846153846155
0 days 00:00:32,292.0,287.48148148148147
0 days 00:00:33,201.0,280.32142857142856
0 days 00:00:34,239.0,279.0689655172414
0 days 00:00:35,179.0,282.2758620689655
0 days 00:00:36,315.0,282.7931034482759
0 days 00:00:37,358.0,273.56666666666666
0 days 00:00:38,205.0,246.66666666666666
0 days 00:00:39,181.0,228.66666666666666
0 days 00:00:40,159.0,214.86666666666667
0 days 00:00:41,144.0,209.03333333333333
0 days 00:00:42,144.0,205.83333333333334
0 days 00:00:43,144.0,196.53333333333333
0 days 00:00:44,0.0,187.06666666666666
0 days 00:00:45,0.0,174.4
0 days 00:00:46,0.0,163.6
0 days 00:00:47,87.0,154.43333333333334
0 days 00:00:48,244.0,144.7
0 days 00:00:49,93.0,138.0
0 days 00:00:50,15.0,130.03333333333333
0 days 00:00:51,6.0,124.06666666666666
0 days 00:00:52,6.0,113.56666666666666
0 days 00:00:53,7.0,101.63333333333334
0 days 00:00:54,97.0,94.8
0 days 00:00:55,304.0,98.96666666666667
0 days 00:00:56,349.0,102.66666666666667
0 days 00:00:57,294.0,114.7
0 days 00:00:58,222.0,121.06666666666666
0 days 00:00:59,116.0,125.6
0 days 00:01:00,116.0,132.93333333333334
0 days 00:01:01,116.0,138.1
0 days 00:01:02,0.0,143.86666666666667
0 days 00:01:03,0.0,148.9
0 days 00:01:04,0.0,149.56666666666666
0 days 00:01:05,0.0,155.5
0 days 00:01:06,0.0,163.16666666666666
0 days 00:01:07,0.0,171.66666666666666
0 days 00:01:08,0.0,178.63333333333333
0 days 00:01:09,306.0,185.53333333333333
0 days 00:01:10,270.0,188.23333333333332
0 days 00:01:11,505.0,184.73333333333332
0 days 00:01:12,335.0,181.33333333333334
0 days 00:01:13,280.0,181.13333333333333
0 days 00:01:14,220.0,182.43333333333334
0 days 00:01:15,155.0,186.5
0 days 00:01:16,173.0,190.86666666666667
0 days 00:01:17,238.0,194.13333333333333
0 days 00:01:18,264.0,200.4
0 days 00:01:19,271.0,209.13333333333333
0 days 00:01:20,245.0,217.7
0 days 00:01:21,261.0,226.73333333333332
